year,month,age,male,female,total_count
2017,1,0,430,420,850
2017,1,1,492,457,949
2017,1,2,498,459,957
2017,1,3,476,441,917
2017,1,4,491,458,949
2017,1,5,504,470,974
2017,1,6,532,492,1024
2017,1,7,533,463,996
2017,1,8,543,524,1067
2017,1,9,511,531,1042
2017,1,10,541,503,1044
2017,1,11,537,524,1061
2017,1,12,601,558,1159
2017,1,13,594,544,1138
2017,1,14,586,587,1173
2017,1,15,651,614,1265
2017,1,16,641,643,1284
2017,1,17,646,660,1306
2017,1,18,657,641,1298
2017,1,19,561,592,1153
2017,1,20,554,586,1140
2017,1,21,559,552,1111
2017,1,22,537,529,1066
2017,1,23,509,554,1063
2017,1,24,552,486,1038
2017,1,25,576,544,1120
2017,1,26,565,530,1095
2017,1,27,587,565,1152
2017,1,28,604,603,1207
2017,1,29,643,613,1256
2017,1,30,619,598,1217
2017,1,31,651,561,1212
2017,1,32,666,612,1278
2017,1,33,674,661,1335
2017,1,34,658,607,1265
2017,1,35,637,683,1320
2017,1,36,672,642,1314
2017,1,37,733,662,1395
2017,1,38,698,677,1375
2017,1,39,775,741,1516
2017,1,40,785,759,1544
2017,1,41,801,755,1556
2017,1,42,815,807,1622
2017,1,43,810,843,1653
2017,1,44,813,828,1641
2017,1,45,759,750,1509
2017,1,46,759,805,1564
2017,1,47,776,766,1542
2017,1,48,712,789,1501
2017,1,49,850,856,1706
2017,1,50,588,570,1158
2017,1,51,785,782,1567
2017,1,52,806,787,1593
2017,1,53,777,840,1617
2017,1,54,794,837,1631
2017,1,55,806,870,1676
2017,1,56,821,856,1677
2017,1,57,834,840,1674
2017,1,58,846,851,1697
2017,1,59,828,806,1634
2017,1,60,861,907,1768
2017,1,61,900,908,1808
2017,1,62,894,880,1774
2017,1,63,854,935,1789
2017,1,64,906,996,1902
2017,1,65,958,939,1897
2017,1,66,954,1032,1986
2017,1,67,1068,1072,2140
2017,1,68,945,979,1924
2017,1,69,918,1025,1943
2017,1,70,626,651,1277
2017,1,71,494,550,1044
2017,1,72,686,808,1494
2017,1,73,671,799,1470
2017,1,74,603,738,1341
2017,1,75,588,803,1391
2017,1,76,617,797,1414
2017,1,77,486,738,1224
2017,1,78,474,786,1260
2017,1,79,513,823,1336
2017,1,80,444,690,1134
2017,1,81,488,793,1281
2017,1,82,394,682,1076
2017,1,83,350,651,1001
2017,1,84,353,756,1109
2017,1,85,300,570,870
2017,1,86,277,560,837
2017,1,87,243,490,733
2017,1,88,215,513,728
2017,1,89,157,405,562
2017,1,90,145,371,516
2017,1,91,112,334,446
2017,1,92,95,260,355
2017,1,93,54,204,258
2017,1,94,36,147,183
2017,1,95,24,101,125
2017,1,96,28,98,126
2017,1,97,10,63,73
2017,1,98,5,43,48
2017,1,99,1,27,28
2017,1,100,5,17,22
2017,1,101,4,8,12
2017,1,102,2,7,9
2017,1,103,1,2,3
2017,1,104,2,4,6
2017,1,105,0,1,1
